"DATE_GMT","TIME_GMT","SETTLEMENT_DATE","SETTLEMENT_PERIOD","EMBEDDED_WIND_FORECAST","EMBEDDED_WIND_CAPACITY","EMBEDDED_SOLAR_FORECAST","EMBEDDED_SOLAR_CAPACITY"
"2022-04-14T00:00:00","12:30","2022-04-14T00:00:00",27,612,6545,5665,13080
"2022-04-14T00:00:00","13:00","2022-04-14T00:00:00",28,628,6545,5546,13080
"2022-04-14T00:00:00","13:30","2022-04-14T00:00:00",29,648,6545,5313,13080
"2022-04-14T00:00:00","14:00","2022-04-14T00:00:00",30,667,6545,4964,13080
"2022-04-14T00:00:00","14:30","2022-04-14T00:00:00",31,676,6545,4518,13080
"2022-04-14T00:00:00","15:00","2022-04-14T00:00:00",32,684,6545,4043,13080
"2022-04-14T00:00:00","15:30","2022-04-14T00:00:00",33,677,6545,3591,13080
"2022-04-14T00:00:00","16:00","2022-04-14T00:00:00",34,670,6545,3105,13080
"2022-04-14T00:00:00","16:30","2022-04-14T00:00:00",35,662,6545,2528,13080
"2022-04-14T00:00:00","17:00","2022-04-14T00:00:00",36,653,6545,1923,13080
"2022-04-14T00:00:00","17:30","2022-04-14T00:00:00",37,633,6545,1362,13080
"2022-04-14T00:00:00","18:00","2022-04-14T00:00:00",38,613,6545,844,13080
"2022-04-14T00:00:00","18:30","2022-04-14T00:00:00",39,611,6545,374,13080
"2022-04-14T00:00:00","19:00","2022-04-14T00:00:00",40,609,6545,56,13080
"2022-04-14T00:00:00","19:30","2022-04-14T00:00:00",41,631,6545,0,13080
"2022-04-14T00:00:00","20:00","2022-04-14T00:00:00",42,652,6545,0,13080
"2022-04-14T00:00:00","20:30","2022-04-14T00:00:00",43,670,6545,0,13080
"2022-04-14T00:00:00","21:00","2022-04-14T00:00:00",44,688,6545,0,13080
"2022-04-14T00:00:00","21:30","2022-04-14T00:00:00",45,690,6545,0,13080
"2022-04-14T00:00:00","22:00","2022-04-14T00:00:00",46,691,6545,0,13080
"2022-04-14T00:00:00","22:30","2022-04-14T00:00:00",47,690,6545,0,13080
"2022-04-14T00:00:00","23:00","2022-04-14T00:00:00",48,688,6545,0,13080
"2022-04-14T00:00:00","23:30","2022-04-15T00:00:00",1,695,6545,0,13082
"2022-04-15T00:00:00","00:00","2022-04-15T00:00:00",2,702,6545,0,13082
"2022-04-15T00:00:00","00:30","2022-04-15T00:00:00",3,706,6545,0,13082
"2022-04-15T00:00:00","01:00","2022-04-15T00:00:00",4,709,6545,0,13082
"2022-04-15T00:00:00","01:30","2022-04-15T00:00:00",5,707,6545,0,13082
"2022-04-15T00:00:00","02:00","2022-04-15T00:00:00",6,704,6545,0,13082
"2022-04-15T00:00:00","02:30","2022-04-15T00:00:00",7,697,6545,0,13082
"2022-04-15T00:00:00","03:00","2022-04-15T00:00:00",8,690,6545,0,13082
"2022-04-15T00:00:00","03:30","2022-04-15T00:00:00",9,679,6545,0,13082
"2022-04-15T00:00:00","04:00","2022-04-15T00:00:00",10,668,6545,0,13082
"2022-04-15T00:00:00","04:30","2022-04-15T00:00:00",11,652,6545,0,13082
"2022-04-15T00:00:00","05:00","2022-04-15T00:00:00",12,635,6545,0,13082
"2022-04-15T00:00:00","05:30","2022-04-15T00:00:00",13,627,6545,130,13082
"2022-04-15T00:00:00","06:00","2022-04-15T00:00:00",14,618,6545,420,13082
"2022-04-15T00:00:00","06:30","2022-04-15T00:00:00",15,612,6545,905,13082
"2022-04-15T00:00:00","07:00","2022-04-15T00:00:00",16,606,6545,1534,13082
"2022-04-15T00:00:00","07:30","2022-04-15T00:00:00",17,600,6545,2243,13082
"2022-04-15T00:00:00","08:00","2022-04-15T00:00:00",18,594,6545,2978,13082
"2022-04-15T00:00:00","08:30","2022-04-15T00:00:00",19,610,6545,3695,13082
"2022-04-15T00:00:00","09:00","2022-04-15T00:00:00",20,625,6545,4366,13082
"2022-04-15T00:00:00","09:30","2022-04-15T00:00:00",21,670,6545,4979,13082
"2022-04-15T00:00:00","10:00","2022-04-15T00:00:00",22,715,6545,5545,13082
"2022-04-15T00:00:00","10:30","2022-04-15T00:00:00",23,760,6545,6056,13082
"2022-04-15T00:00:00","11:00","2022-04-15T00:00:00",24,804,6545,6394,13082
"2022-04-15T00:00:00","11:30","2022-04-15T00:00:00",25,851,6545,6462,13082
"2022-04-15T00:00:00","12:00","2022-04-15T00:00:00",26,897,6545,6370,13082
"2022-04-15T00:00:00","12:30","2022-04-15T00:00:00",27,931,6545,6244,13082
"2022-04-15T00:00:00","13:00","2022-04-15T00:00:00",28,965,6545,6079,13082
"2022-04-15T00:00:00","13:30","2022-04-15T00:00:00",29,1002,6545,5831,13082
"2022-04-15T00:00:00","14:00","2022-04-15T00:00:00",30,1038,6545,5442,13082
"2022-04-15T00:00:00","14:30","2022-04-15T00:00:00",31,1074,6545,4884,13082
"2022-04-15T00:00:00","15:00","2022-04-15T00:00:00",32,1109,6545,4270,13082
"2022-04-15T00:00:00","15:30","2022-04-15T00:00:00",33,1092,6545,3709,13082
"2022-04-15T00:00:00","16:00","2022-04-15T00:00:00",34,1074,6545,3160,13082
"2022-04-15T00:00:00","16:30","2022-04-15T00:00:00",35,1029,6545,2565,13082
"2022-04-15T00:00:00","17:00","2022-04-15T00:00:00",36,983,6545,1948,13082
"2022-04-15T00:00:00","17:30","2022-04-15T00:00:00",37,925,6545,1349,13082
"2022-04-15T00:00:00","18:00","2022-04-15T00:00:00",38,866,6545,801,13082
"2022-04-15T00:00:00","18:30","2022-04-15T00:00:00",39,833,6545,341,13082
"2022-04-15T00:00:00","19:00","2022-04-15T00:00:00",40,800,6545,49,13082
"2022-04-15T00:00:00","19:30","2022-04-15T00:00:00",41,810,6545,0,13082
"2022-04-15T00:00:00","20:00","2022-04-15T00:00:00",42,820,6545,0,13082
"2022-04-15T00:00:00","20:30","2022-04-15T00:00:00",43,827,6545,0,13082
"2022-04-15T00:00:00","21:00","2022-04-15T00:00:00",44,833,6545,0,13082
"2022-04-15T00:00:00","21:30","2022-04-15T00:00:00",45,828,6545,0,13082
"2022-04-15T00:00:00","22:00","2022-04-15T00:00:00",46,823,6545,0,13082
"2022-04-15T00:00:00","22:30","2022-04-15T00:00:00",47,825,6545,0,13082
"2022-04-15T00:00:00","23:00","2022-04-15T00:00:00",48,826,6545,0,13082
"2022-04-15T00:00:00","23:30","2022-04-16T00:00:00",1,834,6545,0,13083
"2022-04-16T00:00:00","00:00","2022-04-16T00:00:00",2,841,6545,0,13083
"2022-04-16T00:00:00","00:30","2022-04-16T00:00:00",3,826,6545,0,13083
"2022-04-16T00:00:00","01:00","2022-04-16T00:00:00",4,811,6545,0,13083
"2022-04-16T00:00:00","01:30","2022-04-16T00:00:00",5,802,6545,0,13083
