DATE_TIME_GMT,EMBEDDED_SOLAR_FORECAST
2022-04-14 12.30.00,5665
2022-04-14 13.00.00,5546
2022-04-14 13.30.00,5313
2022-04-14 14.00.00,4964
2022-04-14 14.30.00,4518
2022-04-14 15.00.00,4043
2022-04-14 15.30.00,3591
2022-04-14 16.00.00,3105
2022-04-14 16.30.00,2528
2022-04-14 17.00.00,1923
2022-04-14 17.30.00,1362
2022-04-14 18.00.00,844
2022-04-14 18.30.00,374
2022-04-14 19.00.00,56
2022-04-14 19.30.00,0
2022-04-14 20.00.00,0
2022-04-14 20.30.00,0
2022-04-14 21.00.00,0
2022-04-14 21.30.00,0
2022-04-14 22.00.00,0
2022-04-14 22.30.00,0
2022-04-14 23.00.00,0
2022-04-14 23.30.00,0
2022-04-15 00.00.00,0
2022-04-15 00.30.00,0
2022-04-15 01.00.00,0
2022-04-15 01.30.00,0
2022-04-15 02.00.00,0
2022-04-15 02.30.00,0
2022-04-15 03.00.00,0
2022-04-15 03.30.00,0
2022-04-15 04.00.00,0
2022-04-15 04.30.00,0
2022-04-15 05.00.00,0
2022-04-15 05.30.00,130
2022-04-15 06.00.00,420
2022-04-15 06.30.00,905
2022-04-15 07.00.00,1534
2022-04-15 07.30.00,2243
2022-04-15 08.00.00,2978
2022-04-15 08.30.00,3695
2022-04-15 09.00.00,4366
2022-04-15 09.30.00,4979
2022-04-15 10.00.00,5545
2022-04-15 10.30.00,6056
2022-04-15 11.00.00,6394
2022-04-15 11.30.00,6462
2022-04-15 12.00.00,6370
2022-04-15 12.30.00,6244
2022-04-15 13.00.00,6079
2022-04-15 13.30.00,5831
2022-04-15 14.00.00,5442
2022-04-15 14.30.00,4884
2022-04-15 15.00.00,4270
2022-04-15 15.30.00,3709
2022-04-15 16.00.00,3160
2022-04-15 16.30.00,2565
2022-04-15 17.00.00,1948
2022-04-15 17.30.00,1349
2022-04-15 18.00.00,801
2022-04-15 18.30.00,341
2022-04-15 19.00.00,49
2022-04-15 19.30.00,0
2022-04-15 20.00.00,0
2022-04-15 20.30.00,0
2022-04-15 21.00.00,0
2022-04-15 21.30.00,0
2022-04-15 22.00.00,0
2022-04-15 22.30.00,0
2022-04-15 23.00.00,0
2022-04-15 23.30.00,0
2022-04-16 00.00.00,0
2022-04-16 00.30.00,0
2022-04-16 01.00.00,0
2022-04-16 01.30.00,0
2022-04-16 02.00.00,0
2022-04-16 02.30.00,0
2022-04-16 03.00.00,0
2022-04-16 03.30.00,0
2022-04-16 04.00.00,0
2022-04-16 04.30.00,0
2022-04-16 05.00.00,0
2022-04-16 05.30.00,61
2022-04-16 06.00.00,229
2022-04-16 06.30.00,560
2022-04-16 07.00.00,1047
2022-04-16 07.30.00,1657
2022-04-16 08.00.00,2331
2022-04-16 08.30.00,3012
2022-04-16 09.00.00,3672
2022-04-16 09.30.00,4288
2022-04-16 10.00.00,4850
2022-04-16 10.30.00,5352
2022-04-16 11.00.00,5780
2022-04-16 11.30.00,6113
2022-04-16 12.00.00,6305
2022-04-16 12.30.00,6320
2022-04-16 13.00.00,6215
2022-04-16 13.30.00,6047
2022-04-16 14.00.00,5778
2022-04-16 14.30.00,5364
2022-04-16 15.00.00,4845
2022-04-16 15.30.00,4270
2022-04-16 16.00.00,3642
2022-04-16 16.30.00,2953
2022-04-16 17.00.00,2242
2022-04-16 17.30.00,1559
2022-04-16 18.00.00,940
2022-04-16 18.30.00,428
2022-04-16 19.00.00,99
2022-04-16 19.30.00,0
2022-04-16 20.00.00,0
2022-04-16 20.30.00,0
2022-04-16 21.00.00,0
2022-04-16 21.30.00,0
2022-04-16 22.00.00,0
2022-04-16 22.30.00,0
2022-04-16 23.00.00,0
2022-04-16 23.30.00,0
,
